model,shots,train_degradation,test_degradation,seed,lr,accuracy,f1,train_time_sec,num_params
small_cnn,full,none,moderate,7,0.001,0.6798148148148148,0.6511520495067983,23.0,549290
small_cnn,full,none,severe,7,0.001,0.26037037037037036,0.19298977925045122,23.0,549290
small_cnn,full,none,none,2024,0.001,0.8211111111111111,0.8121180411143424,23.6,549290
small_cnn,full,none,moderate,2024,0.001,0.6709259259259259,0.643538002489124,23.6,549290
small_cnn,full,none,severe,2024,0.001,0.22203703703703703,0.16115841872345765,23.6,549290
small_cnn,full,none,none,99,0.001,0.8455555555555555,0.8403154623206911,22.9,549290
small_cnn,full,none,moderate,99,0.001,0.6818518518518518,0.6558704576155375,22.9,549290
small_cnn,full,none,severe,99,0.001,0.2524074074074074,0.19778481157642144,22.9,549290
small_cnn,full,none,none,17,0.001,0.8407407407407408,0.8378248437447604,22.4,549290
small_cnn,full,none,moderate,17,0.001,0.7257407407407407,0.7086662186713816,22.4,549290
small_cnn,full,none,severe,17,0.001,0.26296296296296295,0.2057534888655912,22.4,549290
small_cnn,full,none,none,256,0.001,0.8425925925925926,0.8382337321302284,22.3,549290
small_cnn,full,none,moderate,256,0.001,0.7044444444444444,0.672090727702646,22.3,549290
small_cnn,full,none,severe,256,0.001,0.29907407407407405,0.25803528450841484,22.3,549290
small_cnn,full,none,none,512,0.001,0.857037037037037,0.8498593622262675,22.2,549290
small_cnn,full,none,moderate,512,0.001,0.6516666666666666,0.6102071416539188,22.2,549290
small_cnn,full,none,severe,512,0.001,0.21222222222222223,0.15798717005094,22.2,549290
small_cnn,full,none,none,88,0.001,0.8488888888888889,0.8444738350989416,22.4,549290
small_cnn,full,none,moderate,88,0.001,0.6127777777777778,0.5761382236358586,22.4,549290
small_cnn,full,none,severe,88,0.001,0.24481481481481482,0.1821036548469568,22.4,549290
small_cnn,full,none,none,314,0.001,0.8448148148148148,0.8379337996001277,22.7,549290
small_cnn,full,none,moderate,314,0.001,0.6868518518518518,0.6537229544458202,22.7,549290
small_cnn,full,none,severe,314,0.001,0.24425925925925926,0.19764813674759224,22.7,549290
small_cnn,full,moderate,none,42,0.001,0.7668518518518519,0.7607852437719235,32.1,549290
small_cnn,full,moderate,moderate,42,0.001,0.8307407407407408,0.8253785760997314,32.1,549290
small_cnn,full,moderate,severe,42,0.001,0.5561111111111111,0.561811765128948,32.1,549290
small_cnn,full,moderate,none,123,0.001,0.77,0.7646411266423929,31.4,549290
small_cnn,full,moderate,moderate,123,0.001,0.8322222222222222,0.8269668965178056,31.4,549290
small_cnn,full,moderate,severe,123,0.001,0.4646296296296296,0.42929431930854445,31.4,549290
small_cnn,full,moderate,none,7,0.001,0.7216666666666667,0.716013728298867,31.8,549290
small_cnn,full,moderate,moderate,7,0.001,0.8083333333333333,0.8035166010945269,31.8,549290
small_cnn,full,moderate,severe,7,0.001,0.41,0.3609275220797049,31.8,549290
small_cnn,full,moderate,none,2024,0.001,0.7788888888888889,0.7687291119956196,30.8,549290
small_cnn,full,moderate,moderate,2024,0.001,0.8214814814814815,0.8125616537106198,30.8,549290
small_cnn,full,moderate,severe,2024,0.001,0.4216666666666667,0.397641688450236,30.8,549290
small_cnn,full,moderate,none,99,0.001,0.8118518518518518,0.8068010284153491,30.7,549290
small_cnn,full,moderate,moderate,99,0.001,0.8135185185185185,0.8076763302312664,30.7,549290
small_cnn,full,moderate,severe,99,0.001,0.48462962962962963,0.4529855467555632,30.7,549290
small_cnn,full,moderate,none,17,0.001,0.7842592592592592,0.7779080121026399,31.9,549290
small_cnn,full,moderate,moderate,17,0.001,0.8246296296296296,0.8193984974082781,31.9,549290
small_cnn,full,moderate,severe,17,0.001,0.4635185185185185,0.4492160135826235,31.9,549290
small_cnn,full,moderate,none,256,0.001,0.7431481481481481,0.7351837573156484,31.7,549290
small_cnn,full,moderate,moderate,256,0.001,0.8325925925925926,0.8276327373787773,31.7,549290
small_cnn,full,moderate,severe,256,0.001,0.43907407407407406,0.41802986702266204,31.7,549290
small_cnn,full,moderate,none,512,0.001,0.8214814814814815,0.8168981198711627,32.1,549290
small_cnn,full,moderate,moderate,512,0.001,0.8331481481481482,0.8285342707830257,32.1,549290
