model,shots,degradation,seed,accuracy,f1,train_time_sec,num_params
mobilenet,50,moderate,512,0.8668518518518519,0.8633224202440726,9.7,2236682
mobilenet,50,moderate,88,0.835,0.8311994853036545,9.7,2236682
mobilenet,50,moderate,314,0.8492592592592593,0.84569653441075,9.7,2236682
mobilenet,50,severe,42,0.8172222222222222,0.8105979230709925,9.6,2236682
mobilenet,50,severe,123,0.817037037037037,0.8127931464948059,9.6,2236682
mobilenet,50,severe,7,0.8253703703703704,0.8217689607870897,9.7,2236682
mobilenet,50,severe,2024,0.8201851851851852,0.8154679632136232,9.6,2236682
mobilenet,50,severe,99,0.7727777777777778,0.7712002761522301,9.7,2236682
mobilenet,50,severe,17,0.8068518518518518,0.8016093937213787,9.6,2236682
mobilenet,50,severe,256,0.8098148148148148,0.8038853053945505,9.8,2236682
mobilenet,50,severe,512,0.8285185185185185,0.8232788042056407,9.7,2236682
mobilenet,50,severe,88,0.8303703703703704,0.8274724558991308,9.7,2236682
mobilenet,50,severe,314,0.8192592592592592,0.814797986137745,9.6,2236682
mobilenet,full,none,42,0.9653703703703703,0.963842063631799,135.1,2236682
mobilenet,full,none,123,0.9712962962962963,0.9700766972819581,134.8,2236682
mobilenet,full,none,7,0.9687037037037037,0.9676915220149993,134.7,2236682
mobilenet,full,none,2024,0.9564814814814815,0.9570678091447953,134.7,2236682
mobilenet,full,none,99,0.9614814814814815,0.9608640728189373,134.7,2236682
mobilenet,full,none,17,0.9703703703703703,0.9690898624741943,135.1,2236682
mobilenet,full,none,256,0.97,0.9686660035225548,134.9,2236682
mobilenet,full,none,512,0.9640740740740741,0.9627714963693638,134.7,2236682
mobilenet,full,none,88,0.9694444444444444,0.9688994760702963,135.6,2236682
mobilenet,full,none,314,0.9661111111111111,0.9649642363666331,135.0,2236682
mobilenet,full,moderate,42,0.9666666666666667,0.965444264184392,185.5,2236682
mobilenet,full,moderate,123,0.9677777777777777,0.9668995688646026,185.2,2236682
mobilenet,full,moderate,7,0.9657407407407408,0.9640855496524109,185.0,2236682
mobilenet,full,moderate,2024,0.9648148148148148,0.9638136705772251,185.7,2236682
mobilenet,full,moderate,99,0.9688888888888889,0.9678790319677845,185.0,2236682
mobilenet,full,moderate,17,0.970925925925926,0.9696989158189698,185.4,2236682
mobilenet,full,moderate,256,0.9638888888888889,0.9630112862232874,185.2,2236682
mobilenet,full,moderate,512,0.967037037037037,0.9663450782433955,184.9,2236682
mobilenet,full,moderate,88,0.972037037037037,0.971024369956341,185.2,2236682
mobilenet,full,moderate,314,0.9735185185185186,0.9728757584783783,185.0,2236682
mobilenet,full,severe,42,0.9640740740740741,0.9630615104258531,185.7,2236682
mobilenet,full,severe,123,0.9431481481481482,0.9423230792946221,184.7,2236682
mobilenet,full,severe,7,0.9590740740740741,0.9574616624377332,186.1,2236682
mobilenet,full,severe,2024,0.9583333333333334,0.9569069008426758,185.0,2236682
mobilenet,full,severe,99,0.9572222222222222,0.9565118348538191,184.7,2236682
mobilenet,full,severe,17,0.9614814814814815,0.9603235021671568,185.8,2236682
mobilenet,full,severe,256,0.9592592592592593,0.9586315820597113,185.4,2236682
mobilenet,full,severe,512,0.9662962962962963,0.9657625003308089,185.1,2236682
mobilenet,full,severe,88,0.9638888888888889,0.9630323255051125,185.5,2236682
mobilenet,full,severe,314,0.9555555555555556,0.9541012706063015,184.8,2236682
vit,5,none,42,0.4248148148148148,0.4246483298679043,2.7,5526346
vit,5,none,123,0.37333333333333335,0.3303959310787522,2.6,5526346
vit,5,none,7,0.36574074074074076,0.35802012878100054,2.6,5526346
vit,5,none,2024,0.5059259259259259,0.47792438703624984,2.6,5526346
vit,5,none,99,0.4598148148148148,0.4426319684171184,2.6,5526346
vit,5,none,17,0.46703703703703703,0.4541021732366267,2.6,5526346
vit,5,none,256,0.3416666666666667,0.3299484619949695,2.6,5526346
vit,5,none,512,0.4266666666666667,0.3832680555419046,2.7,5526346
vit,5,none,88,0.5187037037037037,0.5035662230436634,2.7,5526346
vit,5,none,314,0.47574074074074074,0.4537682434857679,2.7,5526346
vit,5,moderate,42,0.4764814814814815,0.44841220946534355,3.4,5526346
vit,5,moderate,123,0.48333333333333334,0.4548549200932861,3.4,5526346
vit,5,moderate,7,0.3959259259259259,0.3652205645172338,3.4,5526346
vit,5,moderate,2024,0.4087037037037037,0.3426686110114717,3.4,5526346
vit,5,moderate,99,0.4887037037037037,0.46044913834299883,3.4,5526346
vit,5,moderate,17,0.3590740740740741,0.34482755896414324,3.4,5526346
vit,5,moderate,256,0.4514814814814815,0.4306436810444826,3.4,5526346
vit,5,moderate,512,0.4937037037037037,0.4708143824260887,3.4,5526346
vit,5,moderate,88,0.332037037037037,0.3358655489054484,3.4,5526346
vit,5,moderate,314,0.45611111111111113,0.4120641691816519,3.4,5526346
vit,5,severe,42,0.4325925925925926,0.39875978308743754,3.4,5526346
vit,5,severe,123,0.43574074074074076,0.4195782062565875,3.4,5526346
vit,5,severe,7,0.45481481481481484,0.4164856024671126,3.4,5526346
vit,5,severe,2024,0.445,0.4330881387121817,3.4,5526346
vit,5,severe,99,0.39351851851851855,0.35688456299270643,3.4,5526346
vit,5,severe,17,0.4162962962962963,0.4058852752617832,3.4,5526346
vit,5,severe,256,0.34185185185185185,0.2920593798485863,3.4,5526346
vit,5,severe,512,0.41759259259259257,0.3998504199732495,3.4,5526346
vit,5,severe,88,0.3635185185185185,0.3368195808445389,3.4,5526346
vit,5,severe,314,0.4159259259259259,0.3887673068021936,3.4,5526346
vit,10,none,42,0.41333333333333333,0.40552913267903207,4.2,5526346
vit,10,none,123,0.43648148148148147,0.3883480369972022,4.2,5526346
vit,10,none,7,0.502962962962963,0.4541547897652293,4.0,5526346
vit,10,none,2024,0.5253703703703704,0.5264680286398519,4.2,5526346
vit,10,none,99,0.40814814814814815,0.38011176701820837,4.1,5526346
vit,10,none,17,0.43,0.4021598656615691,4.1,5526346
